Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,7.540000,7.650000,7.530000,7.590000,6.767485,227600
2018-09-25,7.610000,7.660000,7.530000,7.620000,6.794235,351700
2018-09-26,7.620000,7.690000,7.610000,7.650000,6.820983,156000
2018-09-27,7.610000,7.870000,7.610000,7.850000,7.024102,303900
2018-09-28,7.840000,7.860000,7.726000,7.760000,6.943570,158700
2018-10-01,7.720000,7.790000,7.680000,7.700000,6.889884,118100
2018-10-02,7.660000,7.750000,7.650000,7.700000,6.889884,148800
2018-10-03,7.740000,7.740000,7.600000,7.690000,6.880934,77100
2018-10-04,7.700000,7.700000,7.550000,7.660000,6.854090,68300
2018-10-05,7.690000,7.690000,7.540000,7.620000,6.818300,41000
2018-10-08,7.650000,7.685000,7.570000,7.590000,6.791456,58600
2018-10-09,7.650000,7.660000,7.504000,7.650000,6.845142,124500
2018-10-10,7.640000,7.640000,7.420000,7.440000,6.657237,266500
2018-10-11,7.420000,7.480000,7.240000,7.320000,6.549862,138600
2018-10-12,7.320000,7.420000,7.215000,7.350000,6.576705,194500
2018-10-15,7.300000,7.390000,7.240000,7.320000,6.549862,95800
2018-10-16,7.360000,7.510000,7.310000,7.480000,6.693029,192900
2018-10-17,7.420000,7.520000,7.420000,7.470000,6.684080,47600
2018-10-18,7.410000,7.410000,7.295000,7.310000,6.540914,77700
2018-10-19,7.320000,7.410000,7.240000,7.250000,6.487228,63300
2018-10-22,7.260000,7.290000,7.220000,7.240000,6.478278,109000
2018-10-23,7.140000,7.190000,6.910000,7.120000,6.370904,251900
2018-10-24,7.160000,7.160000,6.890000,6.910000,6.182999,146900
2018-10-25,6.920000,7.070000,6.830000,6.850000,6.129312,205100
2018-10-26,6.820000,6.830000,6.670000,6.740000,6.030884,345700
2018-10-29,6.740000,6.850000,6.740000,6.830000,6.111414,181600
2018-10-30,6.820000,7.040000,6.810000,7.010000,6.272477,206200
2018-10-31,7.040000,7.100000,6.950000,7.030000,6.290372,178100
2018-11-01,7.070000,7.320000,7.040000,7.290000,6.523019,194100
2018-11-02,7.320000,7.380000,7.260000,7.340000,6.567757,212700
2018-11-05,7.350000,7.463000,7.230000,7.250000,6.487228,219800
2018-11-06,7.230000,7.360000,7.200000,7.290000,6.523019,646600
2018-11-07,7.330000,7.525000,7.320000,7.390000,6.612496,730400
2018-11-08,7.350000,7.550000,7.280000,7.320000,6.549862,243100
2018-11-09,7.310000,7.390000,7.310000,7.360000,6.585654,51300
2018-11-12,7.370000,7.430000,7.170000,7.180000,6.424592,87500
2018-11-13,7.150000,7.200000,7.060000,7.090000,6.344060,113800
2018-11-14,7.130000,7.230000,6.950000,7.010000,6.272477,278900
2018-11-15,7.070000,7.320000,7.070000,7.250000,6.487228,158400
2018-11-16,7.240000,7.505000,7.200000,7.490000,6.701977,346100
2018-11-19,7.510000,7.600000,7.380000,7.450000,6.666185,277000
