Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,5.770000,5.990000,5.630000,5.720000,5.513958,184500
2018-09-25,5.740000,5.780000,5.580000,5.700000,5.494679,165900
2018-09-26,5.670000,5.720000,5.600000,5.600000,5.398281,65300
2018-09-27,5.600000,5.740000,5.600000,5.690000,5.485039,34800
2018-09-28,5.700000,5.740000,5.620000,5.620000,5.417560,59900
2018-10-01,5.630000,5.640000,5.580000,5.610000,5.407921,68600
2018-10-02,5.600000,5.660000,5.470000,5.480000,5.282604,124400
2018-10-03,5.480000,5.770000,5.480000,5.660000,5.456120,53500
2018-10-04,5.620000,5.790000,5.620000,5.690000,5.485039,23900
2018-10-05,5.670000,5.680000,5.560000,5.610000,5.407921,62700
2018-10-08,5.610000,5.770000,5.550000,5.710000,5.504319,45000
2018-10-09,5.730000,5.790000,5.670000,5.730000,5.523598,18200
2018-10-10,5.750000,5.750000,5.500000,5.500000,5.301883,67300
2018-10-11,5.420000,5.490000,5.310000,5.320000,5.128367,56200
2018-10-12,5.360000,5.390000,5.290000,5.360000,5.166926,96400
2018-10-15,5.340000,5.460000,5.340000,5.400000,5.205485,9600
2018-10-16,5.460000,5.690000,5.410000,5.640000,5.436840,14800
2018-10-17,5.690000,5.690000,5.540000,5.550000,5.350082,81600
2018-10-18,5.500000,5.530000,5.400000,5.440000,5.244044,30000
2018-10-19,5.420000,5.530000,5.420000,5.450000,5.253685,11300
2018-10-22,5.500000,5.500000,5.390000,5.430000,5.234405,26500
2018-10-23,5.350000,5.410000,5.220000,5.400000,5.205485,46200
2018-10-24,5.410000,5.510000,5.280000,5.280000,5.089808,31300
2018-10-25,5.260000,5.480000,5.260000,5.320000,5.128367,54600
2018-10-26,5.250000,5.320000,5.220000,5.260000,5.070529,54800
2018-10-29,5.260000,5.330000,5.040000,5.150000,4.964491,62600
2018-10-30,5.130000,5.190000,4.960000,5.140000,4.954850,69400
2018-10-31,5.170000,5.170000,5.010000,5.010000,4.829534,31300
2018-11-01,5.000000,5.140000,4.990000,5.140000,4.954850,75700
2018-11-02,5.120000,5.280000,5.120000,5.280000,5.089808,29000
2018-11-05,5.470000,5.470000,5.220000,5.400000,5.205485,25800
2018-11-06,5.380000,5.610000,5.310000,5.510000,5.311523,44700
2018-11-07,5.510000,5.510000,5.360000,5.420000,5.224765,80100
2018-11-08,5.390000,5.430000,5.300000,5.340000,5.147647,47000
2018-11-09,5.350000,5.370000,5.260000,5.310000,5.118727,54400
2018-11-12,5.300000,5.330000,5.200000,5.200000,5.012689,4900
2018-11-13,5.190000,5.290000,5.150000,5.200000,5.012689,26600
